cw	pmi_4	raw_4	pmi_10	raw_10	freq
!/punct	-0.8328029	1.0	-1.0449408	2	142029
"""/punct"	-0.34706342	56.0	-0.3706165	136	4844510
&/name			-0.767716	1	52896
'/punct	0.22527608	56.0	0.07786881	120	2720890
'96/noun	3.748592	1.0	2.8355298	1	1417
'97/noun			2.6335993	1	1737
'98/noun			2.2289073	1	2605
's/adv	1.0656463	3.0	0.44161806	4	62265
(/punct	-0.050189197	43.0	0.029654484	114	2759129
)/punct	0.12203828	50.0	0.021254538	112	2758869
,/punct	0.15749405	352.0	-0.047469333	713	18092245
-/punct	-0.15277025	15.0	-0.3984057	29	1059446
../punct			1.5298414	1	5416
./punct	0.23806836	585.0	0.08379496	1248	28225482
//name	1.5622141	1.0	0.6940689	1	13088
1./num	1.3532271	3.0	2.049487	15	46650
1.000/num	1.9245101	1.0	1.0185084	1	8825
1.05.15/num			8.81975	1	4
1.08.19/num	9.617094	1.0	8.700403	1	4
1.500/num			3.0533085	6	6921
1/noun	-0.13437264	1.0	-1.0349298	1	69141
1/num			-0.18697335	4	118827
10.15/num			5.7772417	1	76
10.36/num			7.213133	1	18
10.750/num			7.2623467	1	17
10/num	0.9746637	4.0	0.29170984	5	91258
100/noun	4.1400204	3.0	4.0787797	7	2878
100/num	1.024831	2.0	1.3724009	7	43355
1000/num			2.173597	3	8407
100^m/noun	4.974508	1.0	4.06204	1	416
100_meter/noun			3.525384	1	717
104/num			2.3950179	1	2228
11/noun	0.4955951	1.0	-0.40802076	1	36830
11/num	0.3969178	1.0	0.18357126	2	40771
110$^m/noun	11.003388	1.0	10.086698	1	1
110-111/name			9.39355	1	2
110/noun	4.9378605	1.0	4.032963	1	432
12de/num			2.7356036	1	1595
14.000/num			2.7762475	1	1526
14/num			-0.6783542	1	48120
15/num	-0.10019574	1.0	-1.0068604	1	66844
150/num			0.091047905	1	22300
1500/num	2.9690409	2.0	3.9349556	13	6208
18/noun			-0.13595262	1	28146
1903/noun	4.236189	1.0	3.3344855	1	872
1904/noun			3.518409	1	720
1912/noun	4.0243597	1.0	3.1134822	1	1078
1936/noun	3.3914223	1.0	3.175	2	2030
1937/noun			2.565894	1	1863
1945/noun	2.518925	1.0	1.6085155	1	4856
1947/noun			2.1437845	1	2850
1954/noun	3.140891	1.0	2.23156	1	2612
1957/noun			2.2581615	1	2543
