cw_id	cw	deprel	distance	head	id	lemma	path	pos	position	rep_path	same_sentence	side	steps	target_lemma	token_id	word
hard/verb/algemeen_dagblad_19990118_118/942/L0	haar/pron	obj1	1	4	3	haar	#T->obj1:haar	pron	L0	#T->obj1:Cw	True	L	1	harden	hard/verb/algemeen_dagblad_19990118_118/942	haar
hard/verb/algemeen_dagblad_19990118_118/942/L1	heb/verb	ROOT	2	0	2	heb	heb->vc:#T	verb	L1	Cw->vc:#T	True	L	1	harden	hard/verb/algemeen_dagblad_19990118_118/942	heeft
hard/verb/algemeen_dagblad_19990118_118/942/L10	voor/prep	pc	11	2	16	voor		prep	L10		False	L		harden	hard/verb/algemeen_dagblad_19990118_118/942	voor
hard/verb/algemeen_dagblad_19990118_118/942/L11	lijk/verb	body	12	8	15	lijk		verb	L11		False	L		harden	hard/verb/algemeen_dagblad_19990118_118/942	lijkt
hard/verb/algemeen_dagblad_19990118_118/942/L12	vlucht/noun	obj1	13	12	14	vlucht		noun	L12		False	L		harden	hard/verb/algemeen_dagblad_19990118_118/942	vlucht
hard/verb/algemeen_dagblad_19990118_118/942/L13	de/det	det	14	14	13	de		det	L13		False	L		harden	hard/verb/algemeen_dagblad_19990118_118/942	de
hard/verb/algemeen_dagblad_19990118_118/942/L14	op/prep	pc	15	15	12	op		prep	L14		False	L		harden	hard/verb/algemeen_dagblad_19990118_118/942	op
hard/verb/algemeen_dagblad_19990118_118/942/L15	steeds/adv	mod	16	15	11	steeds		adv	L15		False	L		harden	hard/verb/algemeen_dagblad_19990118_118/942	steeds
hard/verb/algemeen_dagblad_19990118_118/942/L2	verdriet/noun	su	3	2	1	verdriet	heb->[vc:#T,su:verdriet]	noun	L2	heb->[vc:#T,su:Cw]	True	L	2	harden	hard/verb/algemeen_dagblad_19990118_118/942	Verdriet
hard/verb/algemeen_dagblad_19990118_118/942/L3		<sentence>	4	<sentence>	<sentence>	<sentence>		<sentence>	L3		False	L		harden	hard/verb/algemeen_dagblad_19990118_118/942	<sentence>
hard/verb/algemeen_dagblad_19990118_118/942/L4		</sentence>	5	</sentence>	</sentence>	</sentence>		</sentence>	L4		False	L		harden	hard/verb/algemeen_dagblad_19990118_118/942	</sentence>
hard/verb/algemeen_dagblad_19990118_118/942/L5	./punct	punct	6	20	21	.		punct	L5		False	L		harden	hard/verb/algemeen_dagblad_19990118_118/942	.
hard/verb/algemeen_dagblad_19990118_118/942/L6	wat/det	cnj	7	18	20	wat		det	L6		False	L		harden	hard/verb/algemeen_dagblad_19990118_118/942	wat
hard/verb/algemeen_dagblad_19990118_118/942/L7	nog/adv	mod	8	20	19	nog		adv	L7		False	L		harden	hard/verb/algemeen_dagblad_19990118_118/942	nog
hard/verb/algemeen_dagblad_19990118_118/942/L8	en/vg	obj1	9	16	18	en		vg	L8		False	L		harden	hard/verb/algemeen_dagblad_19990118_118/942	en
hard/verb/algemeen_dagblad_19990118_118/942/L9	alles/noun	cnj	10	18	17	alles		noun	L9		False	L		harden	hard/verb/algemeen_dagblad_19990118_118/942	alles
hard/verb/algemeen_dagblad_19990118_118/942/R0	./punct	punct	1	4	5	.	#T->punct:.	punct	R0	#T->punct:Cw	True	R	1	harden	hard/verb/algemeen_dagblad_19990118_118/942	.
hard/verb/algemeen_dagblad_19990118_118/942/R1		</sentence>	2	</sentence>	</sentence>	</sentence>		</sentence>	R1		False	R		harden	hard/verb/algemeen_dagblad_19990118_118/942	</sentence>
hard/verb/algemeen_dagblad_19990118_118/942/R10		</sentence>	11	</sentence>	</sentence>	</sentence>		</sentence>	R10		False	R		harden	hard/verb/algemeen_dagblad_19990118_118/942	</sentence>
hard/verb/algemeen_dagblad_19990118_118/942/R11		<sentence>	12	<sentence>	<sentence>	<sentence>		<sentence>	R11		False	R		harden	hard/verb/algemeen_dagblad_19990118_118/942	<sentence>
hard/verb/algemeen_dagblad_19990118_118/942/R12	ze/pron	su	13	2	1	ze		pron	R12		False	R		harden	hard/verb/algemeen_dagblad_19990118_118/942	Ze
hard/verb/algemeen_dagblad_19990118_118/942/R13	wil/verb	ROOT	14	0	2	wil		verb	R13		False	R		harden	hard/verb/algemeen_dagblad_19990118_118/942	wil
hard/verb/algemeen_dagblad_19990118_118/942/R14	twee/num	det	15	4	3	twee		num	R14		False	R		harden	hard/verb/algemeen_dagblad_19990118_118/942	twee
hard/verb/algemeen_dagblad_19990118_118/942/R2		<sentence>	3	<sentence>	<sentence>	<sentence>		<sentence>	R2		False	R		harden	hard/verb/algemeen_dagblad_19990118_118/942	<sentence>
hard/verb/algemeen_dagblad_19990118_118/942/R3	kus/verb	ROOT	4	0	1	kus		verb	R3		False	R		harden	hard/verb/algemeen_dagblad_19990118_118/942	Kust
hard/verb/algemeen_dagblad_19990118_118/942/R4	ze/pron	su	5	1	2	ze		pron	R4		False	R		harden	hard/verb/algemeen_dagblad_19990118_118/942	ze
hard/verb/algemeen_dagblad_19990118_118/942/R5	haar/det	det	6	4	3	haar		det	R5		False	R		harden	hard/verb/algemeen_dagblad_19990118_118/942	haar
hard/verb/algemeen_dagblad_19990118_118/942/R6	bestaan/noun	cnj	7	5	4	bestaan		noun	R6		False	R		harden	hard/verb/algemeen_dagblad_19990118_118/942	bestaan
hard/verb/algemeen_dagblad_19990118_118/942/R7	of/vg	obj1	8	1	5	of		vg	R7		False	R		harden	hard/verb/algemeen_dagblad_19990118_118/942	of
hard/verb/algemeen_dagblad_19990118_118/942/R8	niet/adv	cnj	9	5	6	niet		adv	R8		False	R		harden	hard/verb/algemeen_dagblad_19990118_118/942	niet
hard/verb/algemeen_dagblad_19990118_118/942/R9	?/punct	punct	10	6	7	?		punct	R9		False	R		harden	hard/verb/algemeen_dagblad_19990118_118/942	?
hard/verb/algemeen_dagblad_19990118_118/942/target	hard/verb	vc	0	2	4	hard	#T	verb	target	#T	True	target	0	harden	hard/verb/algemeen_dagblad_19990118_118/942	gehard
hard/verb/algemeen_dagblad_19990206_150/1090/L0	te/comp	vc	1	27	25	te	te->body:#T	comp	L0	Cw->body:#T	True	L	1	harden	hard/verb/algemeen_dagblad_19990206_150/1090	te
hard/verb/algemeen_dagblad_19990206_150/1090/L1	niet/adv	mod	2	26	24	niet	#T->mod:niet	adv	L1	#T->mod:Cw	True	L	1	harden	hard/verb/algemeen_dagblad_19990206_150/1090	niet
hard/verb/algemeen_dagblad_19990206_150/1090/L10	zij/pron	su	11	18	15	zij	terwijl->dp:werp->mod:waar->body:en->cnj:ben->vc:te->[body:#T,body:dien->obj1:Maginot_geloof->mod:in->obj1:mol_hoop->mod:zoals->body:noem->su:zij]	pron	L10	terwijl->dp:werp->mod:waar->body:en->cnj:ben->vc:te->[body:#T,body:dien->obj1:Maginot_geloof->mod:in->obj1:mol_hoop->mod:zoals->body:noem->su:Cw]	True	L	13	harden	hard/verb/algemeen_dagblad_19990206_150/1090	zij
hard/verb/algemeen_dagblad_19990206_150/1090/L11	zoals/comp	mod	12	11	14	zoals	terwijl->dp:werp->mod:waar->body:en->cnj:ben->vc:te->[body:#T,body:dien->obj1:Maginot_geloof->mod:in->obj1:mol_hoop->mod:zoals]	comp	L11	terwijl->dp:werp->mod:waar->body:en->cnj:ben->vc:te->[body:#T,body:dien->obj1:Maginot_geloof->mod:in->obj1:mol_hoop->mod:Cw]	True	L	11	harden	hard/verb/algemeen_dagblad_19990206_150/1090	zoals
hard/verb/algemeen_dagblad_19990206_150/1090/L12	-/punct	punct	13	11	13	-	terwijl->dp:werp->mod:waar->body:en->cnj:ben->vc:te->[body:#T,body:dien->obj1:Maginot_geloof->mod:in->obj1:mol_hoop->punct:-]	punct	L12	terwijl->dp:werp->mod:waar->body:en->cnj:ben->vc:te->[body:#T,body:dien->obj1:Maginot_geloof->mod:in->obj1:mol_hoop->punct:Cw]	True	L	11	harden	hard/verb/algemeen_dagblad_19990206_150/1090	-
hard/verb/algemeen_dagblad_19990206_150/1090/L13	,/punct	punct	14	11	12	,	terwijl->dp:werp->mod:waar->body:en->cnj:ben->vc:te->[body:#T,body:dien->obj1:Maginot_geloof->mod:in->obj1:mol_hoop->punct:,]	punct	L13	terwijl->dp:werp->mod:waar->body:en->cnj:ben->vc:te->[body:#T,body:dien->obj1:Maginot_geloof->mod:in->obj1:mol_hoop->punct:Cw]	True	L	11	harden	hard/verb/algemeen_dagblad_19990206_150/1090	,
hard/verb/algemeen_dagblad_19990206_150/1090/L14	mol_hoop/noun	obj1	15	9	11	mol_hoop	terwijl->dp:werp->mod:waar->body:en->cnj:ben->vc:te->[body:#T,body:dien->obj1:Maginot_geloof->mod:in->obj1:mol_hoop]	noun	L14	terwijl->dp:werp->mod:waar->body:en->cnj:ben->vc:te->[body:#T,body:dien->obj1:Maginot_geloof->mod:in->obj1:Cw]	True	L	10	harden	hard/verb/algemeen_dagblad_19990206_150/1090	molshoop
